state,district,date_x,lifecycle_friction_score,Lifecycle_Friction,date_y,udr,udr_level,Next_Month_Demand,recommended_action
100000,100000,2025-09-30,0.0,Low,2025-09-30,0.0,Low Dependency,,
100000,100000,2025-09-30,0.0,Low,2025-10-31,0.0,Low Dependency,,
100000,100000,2025-10-31,0.0,Low,2025-09-30,0.0,Low Dependency,,
100000,100000,2025-10-31,0.0,Low,2025-10-31,0.0,Low Dependency,,
Andaman & Nicobar Islands,Andamans,2025-09-30,7.770370370370371,High,2025-09-30,13.666666666666666,High Dependency,Low Demand,No action required
Andaman & Nicobar Islands,Andamans,2025-09-30,7.770370370370371,High,2025-10-31,1.6666666666666667,High Dependency,Low Demand,No action required
Andaman & Nicobar Islands,Andamans,2025-10-31,0.6666666666666667,High,2025-09-30,13.666666666666666,High Dependency,Low Demand,No action required
Andaman & Nicobar Islands,Andamans,2025-10-31,0.6666666666666667,High,2025-10-31,1.6666666666666667,High Dependency,Low Demand,No action required
Andaman & Nicobar Islands,Nicobars,2025-09-30,0.6,High,2025-09-30,1.0,Medium Dependency,Low Demand,No action required
Andaman & Nicobar Islands,South Andaman,2025-09-30,4.773333333333333,High,2025-09-30,8.666666666666666,High Dependency,Low Demand,No action required
Andaman & Nicobar Islands,South Andaman,2025-09-30,4.773333333333333,High,2025-10-31,2.4,High Dependency,Low Demand,No action required
Andaman & Nicobar Islands,South Andaman,2025-10-31,0.96,High,2025-09-30,8.666666666666666,High Dependency,Low Demand,No action required
Andaman & Nicobar Islands,South Andaman,2025-10-31,0.96,High,2025-10-31,2.4,High Dependency,Low Demand,No action required
Andaman and Nicobar Islands,Nicobar,2025-09-30,3.348936170212766,High,2025-09-30,5.829787234042553,High Dependency,Low Demand,No action required
Andaman and Nicobar Islands,Nicobar,2025-09-30,3.348936170212766,High,2025-10-31,0.8571428571428571,Medium Dependency,Low Demand,No action required
Andaman and Nicobar Islands,Nicobar,2025-10-31,0.3428571428571428,High,2025-09-30,5.829787234042553,High Dependency,Low Demand,No action required
Andaman and Nicobar Islands,Nicobar,2025-10-31,0.3428571428571428,High,2025-10-31,0.8571428571428571,Medium Dependency,Low Demand,No action required
Andaman and Nicobar Islands,North And Middle Andaman,2025-09-30,11.645,High,2025-09-30,20.1,High Dependency,Low Demand,No action required
Andaman and Nicobar Islands,North And Middle Andaman,2025-09-30,11.645,High,2025-10-31,2.0,High Dependency,Low Demand,No action required
Andaman and Nicobar Islands,North And Middle Andaman,2025-10-31,0.8,High,2025-09-30,20.1,High Dependency,Low Demand,No action required
