state,district,date,pincode,bio_age_5_17,bio_age_17_
Andaman & Nicobar Islands,Andamans,2025-03-31,744101,16,193
Andaman & Nicobar Islands,Andamans,2025-04-30,744101,17,167
Andaman & Nicobar Islands,Andamans,2025-05-31,1488207,22,158
Andaman & Nicobar Islands,Andamans,2025-06-30,744101,11,129
Andaman & Nicobar Islands,Andamans,2025-07-31,744101,20,239
Andaman & Nicobar Islands,Andamans,2025-09-30,63993742,75,236
Andaman & Nicobar Islands,Nicobar,2025-03-31,2977210,178,101
Andaman & Nicobar Islands,Nicobar,2025-04-30,2977210,151,117
Andaman & Nicobar Islands,Nicobar,2025-05-31,2232906,34,50
Andaman & Nicobar Islands,Nicobar,2025-06-30,2232906,61,75
Andaman & Nicobar Islands,Nicobar,2025-07-31,2232906,95,147
Andaman & Nicobar Islands,Nicobar,2025-09-30,37959417,92,147
Andaman & Nicobar Islands,Nicobars,2025-09-30,744301,1,0
Andaman & Nicobar Islands,North & Middle Andaman,2025-03-31,4465231,470,347
Andaman & Nicobar Islands,North & Middle Andaman,2025-04-30,4465231,623,348
Andaman & Nicobar Islands,North & Middle Andaman,2025-05-31,4465231,272,250
Andaman & Nicobar Islands,North & Middle Andaman,2025-06-30,4465231,292,453
Andaman & Nicobar Islands,North & Middle Andaman,2025-07-31,4465231,351,648
Andaman & Nicobar Islands,North & Middle Andaman,2025-09-30,61768962,539,182
Andaman & Nicobar Islands,South Andaman,2025-03-31,8185464,948,450
Andaman & Nicobar Islands,South Andaman,2025-04-30,8185464,839,482
Andaman & Nicobar Islands,South Andaman,2025-05-31,7441360,654,455
Andaman & Nicobar Islands,South Andaman,2025-06-30,5953037,481,442
Andaman & Nicobar Islands,South Andaman,2025-07-31,6697149,629,699
Andaman & Nicobar Islands,South Andaman,2025-09-30,144361548,997,339
Andhra Pradesh,Adilabad,2025-03-31,17144029,897,4366
Andhra Pradesh,Adilabad,2025-04-30,15126921,694,2822
Andhra Pradesh,Adilabad,2025-05-31,18656323,961,2457
Andhra Pradesh,Adilabad,2025-06-30,20673554,1921,3719
Andhra Pradesh,Adilabad,2025-07-31,18152315,1321,5807
Andhra Pradesh,Adilabad,2025-09-30,343887051,1030,6167
Andhra Pradesh,Alluri Sitharama Raju,2025-03-31,11605934,585,1408
Andhra Pradesh,Alluri Sitharama Raju,2025-04-30,11072595,877,1092
Andhra Pradesh,Alluri Sitharama Raju,2025-05-31,13177424,1125,964
Andhra Pradesh,Alluri Sitharama Raju,2025-06-30,13708529,1717,1219
Andhra Pradesh,Alluri Sitharama Raju,2025-07-31,11629883,718,1130
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,191835250,679,686
Andhra Pradesh,Anakapalli,2025-03-31,6903877,218,234
Andhra Pradesh,Anakapalli,2025-04-30,10621026,598,342
Andhra Pradesh,Anakapalli,2025-05-31,12214531,565,480
Andhra Pradesh,Anakapalli,2025-06-30,11683219,579,449
Andhra Pradesh,Anakapalli,2025-07-31,6372636,214,281
Andhra Pradesh,Anakapalli,2025-09-30,127978682,108,272
Andhra Pradesh,Anantapur,2025-03-31,44332821,3363,6499
Andhra Pradesh,Anantapur,2025-04-30,45363887,5252,6078
Andhra Pradesh,Anantapur,2025-05-31,45878831,5334,6348
Andhra Pradesh,Anantapur,2025-06-30,46394387,5129,6852
Andhra Pradesh,Anantapur,2025-07-31,37633016,1990,5806
Andhra Pradesh,Anantapur,2025-09-30,663957999,1469,3937
Andhra Pradesh,Ananthapur,2025-03-31,46909054,11722,2215
Andhra Pradesh,Ananthapur,2025-04-30,32994231,15832,2062
Andhra Pradesh,Ananthapur,2025-05-31,35572118,10603,2055
Andhra Pradesh,Ananthapur,2025-06-30,38148261,8820,2534
Andhra Pradesh,Ananthapur,2025-07-31,34024441,2655,2114
Andhra Pradesh,Ananthapur,2025-09-30,522729585,1620,1431
Andhra Pradesh,Ananthapuramu,2025-03-31,47424395,14063,2087
Andhra Pradesh,Ananthapuramu,2025-04-30,33510566,21835,1945
Andhra Pradesh,Ananthapuramu,2025-05-31,35572564,16807,2592
Andhra Pradesh,Ananthapuramu,2025-06-30,38664103,13860,2868
Andhra Pradesh,Ananthapuramu,2025-07-31,31964155,3740,2292
Andhra Pradesh,Ananthapuramu,2025-09-30,531486535,2385,1266
Andhra Pradesh,Annamayya,2025-03-31,5167321,235,270
Andhra Pradesh,Annamayya,2025-04-30,8783161,760,371
Andhra Pradesh,Annamayya,2025-05-31,12398922,1317,595
Andhra Pradesh,Annamayya,2025-06-30,9817887,903,507
Andhra Pradesh,Annamayya,2025-07-31,8265968,361,491
Andhra Pradesh,Annamayya,2025-09-30,142108377,180,352
Andhra Pradesh,Bapatla,2025-03-31,4704924,114,131
Andhra Pradesh,Bapatla,2025-04-30,4704929,220,165
Andhra Pradesh,Bapatla,2025-05-31,9410853,508,303
Andhra Pradesh,Bapatla,2025-06-30,13589166,822,465
Andhra Pradesh,Bapatla,2025-07-31,4182611,171,165
Andhra Pradesh,Bapatla,2025-09-30,112397664,121,171
Andhra Pradesh,Chittoor,2025-03-31,49667767,18773,9414
Andhra Pradesh,Chittoor,2025-04-30,48632835,35284,10206
Andhra Pradesh,Chittoor,2025-05-31,49150261,25633,9255
Andhra Pradesh,Chittoor,2025-06-30,49150341,21156,9672
Andhra Pradesh,Chittoor,2025-07-31,48115483,8888,10455
Andhra Pradesh,Chittoor,2025-09-30,767496166,4856,6588
Andhra Pradesh,Cuddapah,2025-03-31,40269233,11599,5222
Andhra Pradesh,Cuddapah,2025-04-30,39236476,22219,5703
Andhra Pradesh,Cuddapah,2025-05-31,39236640,18656,5900
Andhra Pradesh,Cuddapah,2025-06-30,40269233,17592,6976
Andhra Pradesh,Cuddapah,2025-07-31,39236714,7080,7148
Andhra Pradesh,Cuddapah,2025-09-30,630362884,3536,4376
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03-31,4265999,116,181
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04-30,6932166,321,247
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05-31,12798014,615,414
