state,district,date,forecast_next_month,forecast_level,recommended_action
Andaman & Nicobar Islands,Andamans,2025-09-30,369.0,Low Demand,No action required
Andaman & Nicobar Islands,Andamans,2025-10-31,192.0,Low Demand,No action required
Andaman & Nicobar Islands,Andamans,2025-11-30,143.66666666666666,Low Demand,No action required
Andaman & Nicobar Islands,Andamans,2025-12-31,38.666666666666664,Low Demand,No action required
Andaman & Nicobar Islands,Nicobars,2025-11-30,2.0,Low Demand,No action required
Andaman & Nicobar Islands,South Andaman,2025-09-30,130.0,Low Demand,No action required
Andaman & Nicobar Islands,South Andaman,2025-10-31,71.0,Low Demand,No action required
Andaman & Nicobar Islands,South Andaman,2025-11-30,53.333333333333336,Low Demand,No action required
Andaman & Nicobar Islands,South Andaman,2025-12-31,17.0,Low Demand,No action required
Andaman and Nicobar Islands,Nicobar,2025-09-30,274.0,Low Demand,No action required
Andaman and Nicobar Islands,Nicobar,2025-10-31,140.0,Low Demand,No action required
Andaman and Nicobar Islands,Nicobar,2025-11-30,100.33333333333333,Low Demand,No action required
Andaman and Nicobar Islands,Nicobar,2025-12-31,9.666666666666666,Low Demand,No action required
Andaman and Nicobar Islands,North And Middle Andaman,2025-03-31,1028.0,Medium Demand,Extend working hours
Andaman and Nicobar Islands,North And Middle Andaman,2025-07-31,1123.0,Medium Demand,Extend working hours
Andaman and Nicobar Islands,North And Middle Andaman,2025-09-30,1016.6666666666666,Medium Demand,Extend working hours
Andaman and Nicobar Islands,North And Middle Andaman,2025-10-31,684.0,Medium Demand,Extend working hours
Andaman and Nicobar Islands,North And Middle Andaman,2025-11-30,296.0,Low Demand,No action required
Andaman and Nicobar Islands,North And Middle Andaman,2025-12-31,53.0,Low Demand,No action required
Andaman and Nicobar Islands,South Andaman,2025-09-30,1429.0,Medium Demand,Extend working hours
Andaman and Nicobar Islands,South Andaman,2025-10-31,731.5,Medium Demand,Extend working hours
Andaman and Nicobar Islands,South Andaman,2025-11-30,562.0,Medium Demand,Extend working hours
Andaman and Nicobar Islands,South Andaman,2025-12-31,157.0,Low Demand,No action required
Andhra Pradesh,Adilabad,2025-03-31,6091.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Adilabad,2025-09-30,7652.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Adilabad,2025-10-31,5461.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Adilabad,2025-11-30,4044.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Adilabad,2025-12-31,1398.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,Alluri Sitharama Raju,2025-03-31,4116.0,High Demand,Deploy mobile Aadhaar van / add staff
