state,district,date,pincode,demo_age_5_17,demo_age_17_
Andaman & Nicobar Islands,Andamans,2025-09-30,19346821,1,57
Andaman & Nicobar Islands,Andamans,2025-10-31,8185272,1,14
Andaman & Nicobar Islands,Andamans,2025-11-30,13394179,0,47
Andaman & Nicobar Islands,Andamans,2025-12-31,20091233,0,54
Andaman & Nicobar Islands,Nicobar,2025-09-30,8931629,1,34
Andaman & Nicobar Islands,Nicobar,2025-10-31,2232906,1,5
Andaman & Nicobar Islands,Nicobar,2025-11-30,8187320,2,19
Andaman & Nicobar Islands,Nicobar,2025-12-31,1488606,0,2
Andaman & Nicobar Islands,Nicobars,2025-11-30,1488602,0,2
Andaman & Nicobar Islands,North & Middle Andaman,2025-03-31,744202,10,201
Andaman & Nicobar Islands,North & Middle Andaman,2025-07-31,744202,20,199
Andaman & Nicobar Islands,North & Middle Andaman,2025-09-30,20093500,4,79
Andaman & Nicobar Islands,North & Middle Andaman,2025-10-31,11907288,0,30
Andaman & Nicobar Islands,North & Middle Andaman,2025-11-30,12651465,7,47
Andaman & Nicobar Islands,North & Middle Andaman,2025-12-31,11163076,3,72
Andaman & Nicobar Islands,South Andaman,2025-09-30,59530195,26,197
Andaman & Nicobar Islands,South Andaman,2025-10-31,20091639,5,41
Andaman & Nicobar Islands,South Andaman,2025-11-30,50600972,33,208
Andaman & Nicobar Islands,South Andaman,2025-12-31,41671100,20,215
Andhra Pradesh,Adilabad,2025-03-31,3025228,99,729
Andhra Pradesh,Adilabad,2025-09-30,132107259,119,1897
Andhra Pradesh,Adilabad,2025-10-31,68576752,114,965
Andhra Pradesh,Adilabad,2025-11-30,119503233,204,1637
Andhra Pradesh,Adilabad,2025-12-31,91772355,121,1154
Andhra Pradesh,Alluri Sitharama Raju,2025-03-31,3190840,219,1904
Andhra Pradesh,Alluri Sitharama Raju,2025-06-30,507129,29,138
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,85089372,85,488
Andhra Pradesh,Alluri Sitharama Raju,2025-10-31,50740849,71,386
Andhra Pradesh,Alluri Sitharama Raju,2025-11-30,75917592,56,328
Andhra Pradesh,Alluri Sitharama Raju,2025-12-31,63170369,51,358
Andhra Pradesh,Anakapalli,2025-03-31,4248443,143,1090
Andhra Pradesh,Anakapalli,2025-06-30,531055,47,244
Andhra Pradesh,Anakapalli,2025-09-30,97185665,62,488
Andhra Pradesh,Anakapalli,2025-10-31,43026994,40,185
Andhra Pradesh,Anakapalli,2025-11-30,89224112,83,390
Andhra Pradesh,Anakapalli,2025-12-31,91357835,71,531
Andhra Pradesh,Anantapur,2025-03-31,7733387,295,5183
Andhra Pradesh,Anantapur,2025-06-30,515865,27,566
Andhra Pradesh,Anantapur,2025-09-30,298465547,298,3016
Andhra Pradesh,Anantapur,2025-10-31,155163982,430,1633
Andhra Pradesh,Anantapur,2025-11-30,241760379,750,2421
Andhra Pradesh,Anantapur,2025-12-31,242799091,389,2514
Andhra Pradesh,Ananthapur,2025-03-31,15465141,803,2603
Andhra Pradesh,Ananthapur,2025-09-30,210839513,148,971
Andhra Pradesh,Ananthapur,2025-10-31,136612629,527,616
Andhra Pradesh,Ananthapur,2025-11-30,209286361,659,982
Andhra Pradesh,Ananthapur,2025-12-31,174758253,367,743
Andhra Pradesh,Ananthapuramu,2025-03-31,12372899,1132,3411
Andhra Pradesh,Ananthapuramu,2025-04-30,1030402,228,938
Andhra Pradesh,Ananthapuramu,2025-05-31,1547207,225,732
Andhra Pradesh,Ananthapuramu,2025-06-30,1031562,250,804
Andhra Pradesh,Ananthapuramu,2025-07-31,1030869,195,970
Andhra Pradesh,Ananthapuramu,2025-09-30,210843623,185,1216
Andhra Pradesh,Ananthapuramu,2025-10-31,123717550,251,812
Andhra Pradesh,Ananthapuramu,2025-11-30,194858333,466,1283
Andhra Pradesh,Ananthapuramu,2025-12-31,195381383,267,1276
Andhra Pradesh,Annamayya,2025-03-31,2584699,75,353
Andhra Pradesh,Annamayya,2025-04-30,517325,157,853
Andhra Pradesh,Annamayya,2025-05-31,2585430,628,2765
Andhra Pradesh,Annamayya,2025-06-30,1034511,176,532
Andhra Pradesh,Annamayya,2025-07-31,517325,268,1180
Andhra Pradesh,Annamayya,2025-09-30,126083572,96,794
Andhra Pradesh,Annamayya,2025-10-31,67701366,138,540
Andhra Pradesh,Annamayya,2025-11-30,105406773,125,654
Andhra Pradesh,Annamayya,2025-12-31,101791570,119,837
Andhra Pradesh,Bapatla,2025-03-31,2091822,65,457
Andhra Pradesh,Bapatla,2025-06-30,1044366,146,635
Andhra Pradesh,Bapatla,2025-07-31,522265,56,226
Andhra Pradesh,Bapatla,2025-09-30,111342520,75,528
Andhra Pradesh,Bapatla,2025-10-31,60116238,42,205
Andhra Pradesh,Bapatla,2025-11-30,93566386,86,367
Andhra Pradesh,Bapatla,2025-12-31,91987326,46,436
Andhra Pradesh,Chittoor,2025-03-31,23796656,1299,13799
Andhra Pradesh,Chittoor,2025-04-30,517247,225,1103
Andhra Pradesh,Chittoor,2025-05-31,5690701,1406,6920
Andhra Pradesh,Chittoor,2025-06-30,2586183,773,3463
Andhra Pradesh,Chittoor,2025-07-31,1552270,159,1200
Andhra Pradesh,Chittoor,2025-09-30,343019813,705,5500
Andhra Pradesh,Chittoor,2025-10-31,159976951,808,2500
Andhra Pradesh,Chittoor,2025-11-30,284554167,1779,4604
Andhra Pradesh,Chittoor,2025-12-31,231262726,788,4151
Andhra Pradesh,Cuddapah,2025-03-31,12389698,660,6307
Andhra Pradesh,Cuddapah,2025-05-31,516390,52,366
Andhra Pradesh,Cuddapah,2025-06-30,1032363,319,1711
Andhra Pradesh,Cuddapah,2025-07-31,516001,68,763
Andhra Pradesh,Cuddapah,2025-09-30,284979201,388,3673
Andhra Pradesh,Cuddapah,2025-10-31,135781262,366,2213
Andhra Pradesh,Cuddapah,2025-11-30,217346062,660,3227
Andhra Pradesh,Cuddapah,2025-12-31,218383977,430,3117
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03-31,3732725,119,819
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05-31,533216,30,186
