state,district,date,pincode,age_0_5,age_5_17,age_18_greater
100000,100000,2025-09-30,800000,0,0,12
100000,100000,2025-10-31,100000,0,1,0
Andaman & Nicobar Islands,Andamans,2025-09-30,18602703,23,4,0
Andaman & Nicobar Islands,Andamans,2025-10-31,6696933,9,0,0
Andaman & Nicobar Islands,Nicobar,2025-09-30,15630331,41,6,0
Andaman & Nicobar Islands,Nicobar,2025-10-31,1488602,4,3,0
Andaman & Nicobar Islands,Nicobars,2025-09-30,744301,1,0,0
Andaman & Nicobar Islands,North & Middle Andaman,2025-09-30,19349296,38,2,0
Andaman & Nicobar Islands,North & Middle Andaman,2025-10-31,8930444,14,1,0
Andaman & Nicobar Islands,South Andaman,2025-09-30,49112714,69,4,0
Andaman & Nicobar Islands,South Andaman,2025-10-31,17859005,26,3,0
Andhra Pradesh,Adilabad,2025-09-30,180014636,523,131,0
Andhra Pradesh,Adilabad,2025-10-31,65046914,159,47,1
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,124893582,332,47,8
Andhra Pradesh,Alluri Sitharama Raju,2025-10-31,69131582,191,16,3
Andhra Pradesh,Anakapalli,2025-09-30,66911975,146,4,0
Andhra Pradesh,Anakapalli,2025-10-31,32391339,62,3,0
Andhra Pradesh,Anantapur,2025-09-30,434088694,1266,122,0
Andhra Pradesh,Anantapur,2025-10-31,190742165,589,35,0
Andhra Pradesh,Ananthapur,2025-09-30,223743031,521,50,0
Andhra Pradesh,Ananthapur,2025-10-31,108780697,285,22,0
Andhra Pradesh,Ananthapuramu,2025-09-30,322729433,917,52,4
Andhra Pradesh,Ananthapuramu,2025-10-31,137643668,389,29,1
Andhra Pradesh,Annamayya,2025-09-30,106966246,244,14,48
Andhra Pradesh,Annamayya,2025-10-31,44449623,94,10,4
Andhra Pradesh,Bapatla,2025-09-30,61680340,113,18,3
Andhra Pradesh,Bapatla,2025-10-31,33981787,66,11,2
Andhra Pradesh,Chittoor,2025-09-30,625101099,2314,246,12
Andhra Pradesh,Chittoor,2025-10-31,263856967,1057,84,4
Andhra Pradesh,Cuddapah,2025-09-30,469270793,1561,162,0
Andhra Pradesh,Cuddapah,2025-10-31,215793229,814,55,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09-30,96519100,199,12,9
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10-31,42126867,76,7,1
Andhra Pradesh,East Godavari,2025-09-30,770427198,2291,209,3
Andhra Pradesh,East Godavari,2025-10-31,329930594,1028,80,1
Andhra Pradesh,Eluru,2025-09-30,83238439,165,16,1
Andhra Pradesh,Eluru,2025-10-31,38650109,77,10,1
Andhra Pradesh,Guntur,2025-09-30,688969364,2402,337,9
Andhra Pradesh,Guntur,2025-10-31,309751516,1045,140,1
Andhra Pradesh,Hyderabad,2025-09-30,312021242,1151,339,1
Andhra Pradesh,Hyderabad,2025-10-31,136509157,597,175,0
Andhra Pradesh,K.V.Rangareddy,2025-09-30,14541663,26,3,0
Andhra Pradesh,K.V.Rangareddy,2025-10-31,4005863,8,2,0
Andhra Pradesh,K.v. Rangareddy,2025-09-30,3012871,6,1,0
Andhra Pradesh,K.v. Rangareddy,2025-10-31,3517193,5,2,0
Andhra Pradesh,Kakinada,2025-09-30,113055160,238,24,9
Andhra Pradesh,Kakinada,2025-10-31,54929673,138,20,2
Andhra Pradesh,Karim Nagar,2025-09-30,10609535,20,4,0
Andhra Pradesh,Karim Nagar,2025-10-31,5052658,10,2,0
Andhra Pradesh,Karimnagar,2025-09-30,110676150,225,50,0
Andhra Pradesh,Karimnagar,2025-10-31,44473683,83,20,0
Andhra Pradesh,Khammam,2025-09-30,157218464,340,119,0
Andhra Pradesh,Khammam,2025-10-31,73029992,144,36,0
Andhra Pradesh,Krishna,2025-09-30,626801827,1995,207,7
Andhra Pradesh,Krishna,2025-10-31,242799781,794,78,2
Andhra Pradesh,Kurnool,2025-09-30,661909485,3164,308,9
Andhra Pradesh,Kurnool,2025-10-31,295452405,1570,109,1
Andhra Pradesh,Mahabub Nagar,2025-09-30,187410735,472,200,0
Andhra Pradesh,Mahabub Nagar,2025-10-31,75368668,176,69,0
Andhra Pradesh,Mahabubnagar,2025-09-30,1527553,3,0,0
Andhra Pradesh,Mahabubnagar,2025-10-31,509120,1,0,0
Andhra Pradesh,Mahbubnagar,2025-09-30,107442510,202,85,0
Andhra Pradesh,Mahbubnagar,2025-10-31,45828223,82,44,0
Andhra Pradesh,Medak,2025-09-30,176284853,465,84,1
Andhra Pradesh,Medak,2025-10-31,69811792,177,41,0
Andhra Pradesh,N. T. R,2025-09-30,115591612,242,36,17
Andhra Pradesh,N. T. R,2025-10-31,43733816,98,13,3
Andhra Pradesh,Nalgonda,2025-09-30,166184400,385,99,0
Andhra Pradesh,Nalgonda,2025-10-31,73692407,161,30,0
Andhra Pradesh,Nandyal,2025-09-30,93826977,221,6,3
Andhra Pradesh,Nandyal,2025-10-31,52873453,129,11,0
Andhra Pradesh,Nellore,2025-09-30,482834720,1477,292,2
Andhra Pradesh,Nellore,2025-10-31,188727819,587,111,0
Andhra Pradesh,Nizamabad,2025-09-30,71457652,167,28,0
Andhra Pradesh,Nizamabad,2025-10-31,29183960,80,12,0
Andhra Pradesh,Palnadu,2025-09-30,102929425,239,34,11
Andhra Pradesh,Palnadu,2025-10-31,41799467,103,5,1
Andhra Pradesh,Parvathipuram Manyam,2025-09-30,70059927,162,11,4
Andhra Pradesh,Parvathipuram Manyam,2025-10-31,36388684,73,6,2
Andhra Pradesh,Prakasam,2025-07-31,523105,91,108,38
Andhra Pradesh,Prakasam,2025-09-30,682306215,2197,479,13
Andhra Pradesh,Prakasam,2025-10-31,267898564,841,136,2
Andhra Pradesh,Rangareddi,2025-09-30,185378270,502,132,0
Andhra Pradesh,Rangareddi,2025-10-31,91166545,219,74,0
Andhra Pradesh,Spsr Nellore,2025-03-31,1048313,43,44,29
Andhra Pradesh,Spsr Nellore,2025-06-30,4718820,742,405,201
Andhra Pradesh,Spsr Nellore,2025-07-31,2621396,382,264,73
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09-30,164562642,251,224,83
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10-31,66564091,79,91,47
Andhra Pradesh,Sri Sathya Sai,2025-09-30,110294067,240,14,9
Andhra Pradesh,Sri Sathya Sai,2025-10-31,49997934,125,5,1
Andhra Pradesh,Srikakulam,2025-09-30,442397343,1339,53,5
Andhra Pradesh,Srikakulam,2025-10-31,177272069,585,25,1
Andhra Pradesh,Tirupati,2025-09-30,145016108,223,310,84
Andhra Pradesh,Tirupati,2025-10-31,49864257,79,34,14
Andhra Pradesh,Visakhapatanam,2025-06-30,531029,186,28,12
Andhra Pradesh,Visakhapatnam,2025-09-30,648081049,2358,185,8
Andhra Pradesh,Visakhapatnam,2025-10-31,265934966,1092,57,1
Andhra Pradesh,Vizianagaram,2025-09-30,407219151,1220,72,2
Andhra Pradesh,Vizianagaram,2025-10-31,156801226,520,20,0
Andhra Pradesh,Warangal,2025-09-30,146285980,329,60,0
Andhra Pradesh,Warangal,2025-10-31,69853857,157,35,0
Andhra Pradesh,West Godavari,2025-09-30,646417656,1871,128,6
Andhra Pradesh,West Godavari,2025-10-31,235739589,692,44,6
Andhra Pradesh,Y. S. R,2025-09-30,101181119,213,30,8
Andhra Pradesh,Y. S. R,2025-10-31,31489516,85,4,1
Arunachal Pradesh,Anjaw,2025-09-30,7128936,16,5,0
Arunachal Pradesh,Anjaw,2025-10-31,1584208,0,2,0
Arunachal Pradesh,Changlang,2025-09-30,59408027,288,136,5
Arunachal Pradesh,Changlang,2025-10-31,26139494,61,100,1
Arunachal Pradesh,Dibang Valley,2025-09-30,2376303,2,2,0
Arunachal Pradesh,Dibang Valley,2025-10-31,2376312,2,1,0
Arunachal Pradesh,East Kameng,2025-09-30,18962451,47,29,0
Arunachal Pradesh,East Kameng,2025-10-31,8691124,12,17,0
Arunachal Pradesh,East Siang,2025-09-30,21359768,29,27,0
Arunachal Pradesh,East Siang,2025-10-31,8702130,9,11,0
Arunachal Pradesh,Kamle,2025-09-30,6329040,2,18,0
Arunachal Pradesh,Kamle,2025-10-31,791130,0,1,0
Arunachal Pradesh,Kra Daadi,2025-09-30,10284534,7,27,0
Arunachal Pradesh,Kra Daadi,2025-10-31,5537826,5,8,0
Arunachal Pradesh,Kurung Kumey,2025-09-30,11075652,7,19,0
Arunachal Pradesh,Kurung Kumey,2025-10-31,4746708,5,5,0
Arunachal Pradesh,Leparada,2025-09-30,791101,0,1,0
Arunachal Pradesh,Lohit,2025-09-30,21385555,30,18,0
Arunachal Pradesh,Lohit,2025-10-31,10296823,12,9,0
Arunachal Pradesh,Longding,2025-07-31,792131,46,322,33
Arunachal Pradesh,Longding,2025-09-30,25337187,61,269,0
Arunachal Pradesh,Longding,2025-10-31,8713441,10,53,0
Arunachal Pradesh,Lower Dibang Valley,2025-09-30,14257980,24,19,0
Arunachal Pradesh,Lower Dibang Valley,2025-10-31,7921100,10,9,0
Arunachal Pradesh,Lower Siang,2025-09-30,7120102,6,6,0
Arunachal Pradesh,Lower Siang,2025-10-31,2373351,0,3,0
Arunachal Pradesh,Lower Subansiri,2025-09-30,17404637,19,25,0
Arunachal Pradesh,Lower Subansiri,2025-10-31,6328958,3,12,0
Arunachal Pradesh,Namsai,2025-09-30,23763110,32,29,0
Arunachal Pradesh,Namsai,2025-10-31,14257860,17,13,0
Arunachal Pradesh,Pakke Kessang,2025-09-30,1580206,1,1,0
Arunachal Pradesh,Pakke Kessang,2025-10-31,790103,1,0,0
Arunachal Pradesh,Papum Pare,2025-09-30,67244598,72,87,0
Arunachal Pradesh,Papum Pare,2025-10-31,30062322,43,42,0
Arunachal Pradesh,Shi-yomi,2025-09-30,2373009,5,0,0
Arunachal Pradesh,Shi-yomi,2025-10-31,1582006,1,1,0
Arunachal Pradesh,Siang,2025-09-30,18984630,31,43,0
Arunachal Pradesh,Siang,2025-10-31,4746208,2,8,0
Arunachal Pradesh,Tawang,2025-09-30,22122939,56,14,0
Arunachal Pradesh,Tawang,2025-10-31,11061472,14,5,0
Arunachal Pradesh,Tirap,2025-09-30,11859950,16,10,0
Arunachal Pradesh,Tirap,2025-10-31,7904799,10,4,0
Arunachal Pradesh,Upper Siang,2025-09-30,9496260,10,5,0
Arunachal Pradesh,Upper Siang,2025-10-31,4748130,5,5,0
Arunachal Pradesh,Upper Subansiri,2025-09-30,15031318,34,22,0
Arunachal Pradesh,Upper Subansiri,2025-10-31,7120098,11,10,0
Arunachal Pradesh,West Kameng,2025-07-31,790101,43,30,10
Arunachal Pradesh,West Kameng,2025-09-30,37132771,46,35,1
Arunachal Pradesh,West Kameng,2025-10-31,15010868,24,10,0
Arunachal Pradesh,West Siang,2025-09-30,32434689,45,35,0
Arunachal Pradesh,West Siang,2025-10-31,10283437,21,10,0
Assam,Bajali,2025-09-30,9376101,7,5,0
Assam,Bajali,2025-10-31,1562680,2,0,0
Assam,Baksa,2025-03-31,781366,11,14,13
Assam,Baksa,2025-04-30,4688126,408,483,187
Assam,Baksa,2025-05-31,781372,37,25,20
Assam,Baksa,2025-06-30,781346,28,12,12
Assam,Baksa,2025-07-31,1562716,110,71,39
Assam,Baksa,2025-09-30,176584747,493,215,1
Assam,Baksa,2025-10-31,78916322,207,65,10
Assam,Barpeta,2025-03-31,783101,24,34,10
Assam,Barpeta,2025-04-30,1562638,138,54,23
Assam,Barpeta,2025-05-31,781309,90,83,10
Assam,Barpeta,2025-06-30,3906567,699,376,104
Assam,Barpeta,2025-07-31,5470954,3310,895,184
Assam,Barpeta,2025-09-30,361751006,2848,843,11
Assam,Barpeta,2025-10-31,132824022,879,250,22
Assam,Biswanath,2025-04-30,1568350,104,114,32
Assam,Biswanath,2025-09-30,124683648,215,120,2
Assam,Biswanath,2025-10-31,48618729,95,41,1
Assam,Bongaigaon,2025-03-31,783384,25,33,31
