state,district,date,lifecycle_friction_score,friction_level
100000,100000,2025-09-30,0.0,Low
100000,100000,2025-10-31,0.0,Low
Andaman & Nicobar Islands,Andamans,2025-09-30,7.770370370370371,High
Andaman & Nicobar Islands,Andamans,2025-10-31,0.6666666666666667,High
Andaman & Nicobar Islands,Nicobar,2025-09-30,3.348936170212766,High
Andaman & Nicobar Islands,Nicobar,2025-10-31,0.34285714285714286,High
Andaman & Nicobar Islands,Nicobars,2025-09-30,0.6,High
Andaman & Nicobar Islands,North & Middle Andaman,2025-09-30,11.645,High
Andaman & Nicobar Islands,North & Middle Andaman,2025-10-31,0.8,High
Andaman & Nicobar Islands,South Andaman,2025-09-30,12.202739726027396,High
Andaman & Nicobar Islands,South Andaman,2025-10-31,0.6344827586206897,High
Andhra Pradesh,Adilabad,2025-09-30,7.835779816513762,High
Andhra Pradesh,Adilabad,2025-10-31,2.085024154589372,High
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,2.7085271317829456,High
Andhra Pradesh,Alluri Sitharama Raju,2025-10-31,0.8704761904761904,High
Andhra Pradesh,Anakapalli,2025-09-30,2.9866666666666664,High
Andhra Pradesh,Anakapalli,2025-10-31,1.3846153846153848,High
Andhra Pradesh,Anantapur,2025-09-30,3.2919308357348704,High
Andhra Pradesh,Anantapur,2025-10-31,1.3224358974358976,High
Andhra Pradesh,Ananthapur,2025-09-30,3.9898423817863398,High
Andhra Pradesh,Ananthapur,2025-10-31,1.4892508143322476,High
Andhra Pradesh,Ananthapuramu,2025-09-30,2.827338129496403,High
Andhra Pradesh,Ananthapuramu,2025-10-31,1.0147971360381862,High
Andhra Pradesh,Annamayya,2025-09-30,2.2065359477124185,High
Andhra Pradesh,Annamayya,2025-10-31,2.511111111111111,High
Andhra Pradesh,Bapatla,2025-09-30,3.107462686567164,High
Andhra Pradesh,Bapatla,2025-10-31,1.250632911392405,High
Andhra Pradesh,Chittoor,2025-09-30,3.6346811819595644,High
Andhra Pradesh,Chittoor,2025-10-31,1.1556331877729258,High
Andhra Pradesh,Cuddapah,2025-09-30,3.6979686593151477,High
Andhra Pradesh,Cuddapah,2025-10-31,1.1871116225546607,High
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09-30,2.610909090909091,High
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10-31,1.8047619047619048,High
Andhra Pradesh,East Godavari,2025-09-30,4.7169796244506585,High
Andhra Pradesh,East Godavari,2025-10-31,1.1491433724075744,High
Andhra Pradesh,Eluru,2025-09-30,4.347252747252748,High
Andhra Pradesh,Eluru,2025-10-31,1.6636363636363638,High
Andhra Pradesh,Guntur,2025-09-30,3.731513828238719,High
Andhra Pradesh,Guntur,2025-10-31,1.1625632377740305,High
Andhra Pradesh,Hyderabad,2025-09-30,4.544064386317907,High
Andhra Pradesh,Hyderabad,2025-10-31,0.49533678756476685,High
Andhra Pradesh,K.V.Rangareddy,2025-09-30,4.703448275862068,High
Andhra Pradesh,K.V.Rangareddy,2025-10-31,0.8400000000000001,High
Andhra Pradesh,K.v. Rangareddy,2025-09-30,8.057142857142857,High
Andhra Pradesh,K.v. Rangareddy,2025-10-31,0.34285714285714286,High
Andhra Pradesh,Kakinada,2025-09-30,3.0324723247232472,High
Andhra Pradesh,Kakinada,2025-10-31,1.2325,High
Andhra Pradesh,Karim Nagar,2025-09-30,7.691666666666666,High
Andhra Pradesh,Karim Nagar,2025-10-31,0.9,High
Andhra Pradesh,Karimnagar,2025-09-30,7.656000000000001,High
