state,district,date,udr,udr_level
100000,100000,2025-09-30,0.0,Low Dependency
100000,100000,2025-10-31,0.0,Low Dependency
Andaman & Nicobar Islands,Andamans,2025-09-30,13.666666666666666,High Dependency
Andaman & Nicobar Islands,Andamans,2025-10-31,1.6666666666666667,High Dependency
Andaman & Nicobar Islands,Nicobars,2025-09-30,1.0,Medium Dependency
Andaman & Nicobar Islands,South Andaman,2025-09-30,8.666666666666666,High Dependency
Andaman & Nicobar Islands,South Andaman,2025-10-31,2.4,High Dependency
Andaman and Nicobar Islands,Nicobar,2025-09-30,5.829787234042553,High Dependency
Andaman and Nicobar Islands,Nicobar,2025-10-31,0.8571428571428571,Medium Dependency
Andaman and Nicobar Islands,North And Middle Andaman,2025-09-30,20.1,High Dependency
Andaman and Nicobar Islands,North And Middle Andaman,2025-10-31,2.0,High Dependency
Andaman and Nicobar Islands,South Andaman,2025-09-30,24.637931034482758,High Dependency
Andaman and Nicobar Islands,South Andaman,2025-10-31,1.4166666666666667,Medium Dependency
Andhra Pradesh,Adilabad,2025-09-30,14.087155963302752,High Dependency
Andhra Pradesh,Adilabad,2025-10-31,5.21256038647343,High Dependency
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,5.007751937984496,High Dependency
Andhra Pradesh,Alluri Sitharama Raju,2025-10-31,2.176190476190476,High Dependency
Andhra Pradesh,Anakapalli,2025-09-30,6.2,High Dependency
Andhra Pradesh,Anakapalli,2025-10-31,3.4615384615384617,High Dependency
Andhra Pradesh,Anantapur,2025-09-30,6.282420749279539,High Dependency
Andhra Pradesh,Anantapur,2025-10-31,3.3060897435897436,High Dependency
Andhra Pradesh,Ananthapur,2025-09-30,7.302977232924693,High Dependency
Andhra Pradesh,Ananthapur,2025-10-31,3.7231270358306188,High Dependency
Andhra Pradesh,Ananthapuramu,2025-09-30,5.19218910585817,High Dependency
Andhra Pradesh,Ananthapuramu,2025-10-31,2.5369928400954653,High Dependency
Andhra Pradesh,Annamayya,2025-09-30,4.647058823529412,High Dependency
Andhra Pradesh,Annamayya,2025-10-31,6.277777777777778,High Dependency
Andhra Pradesh,Bapatla,2025-09-30,6.67910447761194,High Dependency
Andhra Pradesh,Bapatla,2025-10-31,3.1265822784810124,High Dependency
Andhra Pradesh,Chittoor,2025-09-30,6.861975116640746,High Dependency
Andhra Pradesh,Chittoor,2025-10-31,2.8890829694323146,High Dependency
Andhra Pradesh,Cuddapah,2025-09-30,6.948926291352293,High Dependency
Andhra Pradesh,Cuddapah,2025-10-31,2.9677790563866515,High Dependency
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09-30,5.431818181818182,High Dependency
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10-31,4.511904761904762,High Dependency
Andhra Pradesh,East Godavari,2025-09-30,8.87015581302437,High Dependency
Andhra Pradesh,East Godavari,2025-10-31,2.872858431018936,High Dependency
Andhra Pradesh,Eluru,2025-09-30,9.247252747252746,High Dependency
Andhra Pradesh,Eluru,2025-10-31,4.159090909090909,High Dependency
Andhra Pradesh,Guntur,2025-09-30,7.055312954876274,High Dependency
Andhra Pradesh,Guntur,2025-10-31,2.906408094435076,High Dependency
Andhra Pradesh,Hyderabad,2025-09-30,8.042924211938297,High Dependency
Andhra Pradesh,Hyderabad,2025-10-31,1.238341968911917,Medium Dependency
Andhra Pradesh,K.V.Rangareddy,2025-09-30,8.310344827586206,High Dependency
Andhra Pradesh,K.V.Rangareddy,2025-10-31,2.1,High Dependency
Andhra Pradesh,K.v. Rangareddy,2025-09-30,14.285714285714286,High Dependency
Andhra Pradesh,K.v. Rangareddy,2025-10-31,0.8571428571428571,Medium Dependency
Andhra Pradesh,Kakinada,2025-09-30,6.527675276752768,High Dependency
Andhra Pradesh,Kakinada,2025-10-31,3.08125,High Dependency
Andhra Pradesh,Karim Nagar,2025-09-30,13.916666666666666,High Dependency
Andhra Pradesh,Karim Nagar,2025-10-31,2.25,High Dependency
Andhra Pradesh,Karimnagar,2025-09-30,13.701818181818181,High Dependency
Andhra Pradesh,Karimnagar,2025-10-31,3.6990291262135924,High Dependency
Andhra Pradesh,Khammam,2025-09-30,14.348583877995642,High Dependency
Andhra Pradesh,Khammam,2025-10-31,5.766666666666667,High Dependency
Andhra Pradesh,Krishna,2025-09-30,9.16568583069262,High Dependency
Andhra Pradesh,Krishna,2025-10-31,2.7974828375286043,High Dependency
Andhra Pradesh,Kurnool,2025-09-30,6.305084745762712,High Dependency
Andhra Pradesh,Kurnool,2025-10-31,1.7422619047619048,High Dependency
Andhra Pradesh,Mahabub Nagar,2025-09-30,7.382440476190476,High Dependency
Andhra Pradesh,Mahabub Nagar,2025-10-31,1.8653061224489795,High Dependency
Andhra Pradesh,Mahabubnagar,2025-09-30,14.666666666666666,High Dependency
Andhra Pradesh,Mahabubnagar,2025-10-31,3.0,High Dependency
Andhra Pradesh,Mahbubnagar,2025-09-30,10.010452961672474,High Dependency
